site_id,parent_region_id,scenario_type,profile_id,evidence_bundle_id,evaluation_mode,requested_crop_id,is_requested_crop,crop_id,crop_name,regionally_eligible,overall_rank,eligible_rank,suitability_score,recommendation,confidence_score,confidence_band,evidence_coverage_percent,applied_caps,applied_gates,detailed_output_path
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,alfalfa_hay,Alfalfa grown for hay,True,1,1,72.17,conditional,58.68,low,83.0,,,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,True,white_potato,White potato,True,2,2,71.72,conditional,58.68,low,83.0,,,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,oilseed_sunflower,Oilseed sunflower,True,3,3,67.8,conditional,58.68,low,83.0,,,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,fresh_market_spinach,Fresh-market spinach,True,4,4,67.44,conditional,67.01,medium,83.0,,,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,fresh_market_cabbage,Fresh-market cabbage,True,5,5,62.68,conditional,67.01,medium,83.0,,,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,hard_red_winter_wheat,Hard red winter wheat,True,6,6,56.65,conditional,69.08,medium,100.0,,,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,corn_grain,Corn grown for grain,True,7,7,54.0,not_recommended,69.08,medium,100.0,far_outside_planting_window,far_outside_planting_window,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,corn_silage,Corn grown for silage,True,8,8,54.0,not_recommended,69.08,medium,100.0,far_outside_planting_window,far_outside_planting_window,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,grain_sorghum,Grain sorghum,True,9,9,54.0,not_recommended,69.08,medium,100.0,far_outside_planting_window,far_outside_planting_window,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,upland_cotton,Upland cotton,True,10,10,54.0,not_recommended,69.08,medium,100.0,far_outside_planting_window,far_outside_planting_window,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
plains_northern_panhandle_dalhart,plains,in_season_baseline,plains_northern_panhandle_dalhart_in_season_baseline,plains_northern_panhandle_dalhart_evidence,planting_readiness,white_potato,False,dry_bulb_onion,Dry-bulb onion,True,11,11,54.0,not_recommended,67.01,medium,83.0,far_outside_planting_window,far_outside_planting_window,data/scenarios/results/plains_northern_panhandle_dalhart/in_season_baseline.json
